district,longitude,latitude,num
西北旺,116.27435744487137,40.049709179484495,46.0
兴业大街,116.32953219483696,39.749328834453976,123.0
石园,116.6719842941135,40.11597657499332,23.0
分钟寺,116.46070193986118,39.86401024245802,181.0
南礼士路,116.36004740034979,39.92145863338408,189.0
望京,116.47537926375816,39.998630151725436,1197.0
洋桥,116.39339140764237,39.863287016607906,280.0
开阳里,116.3783255279852,39.870257080331996,104.0
磁器口,116.42531085870128,39.89928758814359,516.0
白广路,116.36556947925192,39.889963394563274,91.0
科技园区,116.29569669226088,39.83346627962086,340.0
定福庄,116.55599625446231,39.92161127913679,496.0
十八里店,116.49941082259164,39.85195106103689,583.0
车道沟,116.3072399180641,39.951215359690316,131.0
沙河,114.50947385688345,36.8611273411454,103.0
北房,116.71215741482523,40.33150811303049,1.0
安定门,116.41398735842579,39.960745517627934,576.0
五路居,116.28482090745159,39.941060829356324,81.0
八里庄,116.50135475571524,39.92709203098017,666.0
次渠,116.58424410003744,39.807994315240066,44.0
龙泽,116.33148967530596,40.077646115042384,97.0
天通苑,116.42784821244476,40.07495397605039,274.0
左家庄,116.45352178391994,39.960374983000065,410.0
东铁匠营,116.42762867196795,39.85914933934203,284.0
新街口,116.37927054538169,39.955436171496075,497.0
车公庄,116.34081049327749,39.93908450897057,197.0
峪口,117.02118439161828,40.19388803213045,1.0
白纸坊,116.36675265810015,39.88443840240997,130.0
杨庄,116.63856355625921,39.90492546412851,245.0
朝阳门,116.44275469407732,39.92874765118868,1286.0
双桥,117.94942790898834,40.98082447740104,705.0
菜户营,116.3519396002406,39.8733422141507,122.0
珠市口,116.40607777841043,39.89750213443768,864.0
双安,116.33379113402252,39.972385910680345,17.0
芍药居,116.449026663148,39.98481279702098,58.0
北苑家园,116.42296143047051,40.04645993478052,127.0
体育馆路,116.43291163631622,39.89025994151746,92.0
西三旗,116.3534244992486,40.063862695290965,209.0
皂君庙,116.34484029179524,39.967452121034654,105.0
永定门,116.40657543966296,39.87538897131966,340.0
老山,116.22858428761043,39.91806889011782,67.0
京广桥,116.46828232414444,39.926686157113416,61.0
工体/工人体育场,116.45357604157272,39.93701608769474,606.0
白石桥,116.2353500956437,40.29913025201858,33.0
衙门口,116.21842175737606,39.895340416160046,146.0
夏家胡同,116.32443896518869,39.852809079575714,142.0
西直门,116.4919153614164,39.92671605612581,532.0
香山,116.21669251926936,39.99332045507723,47.0
天竺,116.57500772278385,40.06500779727523,142.0
沙滩,117.36971812609569,40.64200486619862,245.0
牛街,116.37030994073321,39.89362112938667,31.0
韩村河,115.96039158438448,39.60794196297818,12.0
小红门,116.46929602867516,39.83496364149412,88.0
亮马桥,116.5192889760692,39.80159105758991,126.0
阳坊,116.14840423270631,40.1459364243901,1.0
建外大街,116.4570162193029,39.91420177261439,732.0
红莲,116.34035415407844,39.88543843775029,231.0
潘家园,116.46678077324721,39.882555943059565,695.0
霄云路,116.47271439554754,39.96564784157531,273.0
呼家楼,116.47479509568504,39.92450899473132,534.0
蓝色港湾,116.4818910804,39.95488163886923,19.0
学院路,116.36010066088349,39.99494982480969,845.0
灯市口,116.42120703980947,39.92441658846568,166.0
慈云寺,116.4961616398841,39.91714046554847,198.0
蓟门桥,116.35758797191437,39.97224932446453,179.0
高碑店,115.88056905507335,39.33233544746168,618.0
青年路,116.52356296726187,39.932030058135865,259.0
城南,116.4133836971231,39.91092454729957,126.0
岳各庄,117.09398217184138,40.149782357652334,133.0
远大路,116.29156174348995,39.96363466010236,66.0
北京站,116.43384170680731,39.91003951986981,68.0
万泉河,116.30757049449177,39.986407718744985,292.0
丽泽桥,116.31776643001317,39.87461451326524,207.0
宋家庄,116.4367665895478,39.85447412537632,291.0
雍和宫,116.42363246468643,39.95363795109802,48.0
花家地,116.47390433594136,39.989835153164954,1072.0
旧宫,116.4550228524271,39.812111788087826,194.0
庙城,116.6354232598574,40.295322702483794,26.0
纪家庙,116.34341342332321,39.84621517314668,82.0
燕山,115.96665726531656,39.7317647894546,4.0
动物园,116.34481963076851,39.94634779130476,199.0
角门,116.384927175178,39.85218578474238,499.0
东大桥,116.45853019646026,39.92900610910213,735.0
金融街,116.36843698093136,39.92934036696799,150.0
五道口,116.34431927459947,39.999988601105365,688.0
西二旗,116.31835285552805,40.05924136629426,243.0
八里桥,116.64376590936592,39.91877281830481,60.0
清源,116.3377876952364,39.752125806576046,173.0
安慧桥,116.41278570951799,39.99466595649353,150.0
草桥,116.64399698318717,40.150126475737636,295.0
朝阳大悦城,116.52481948377194,39.93077226948503,131.0
广安门,116.3493461922333,39.892696385095576,757.0
长椿街,116.37007289497694,39.90282440290133,66.0
传媒大学,116.563634276722,39.91755147502763,560.0
和平里,116.4288866536143,39.96487103511862,510.0
丰管路,116.31247027045522,39.86398820998704,145.0
西罗园,116.40018300782341,39.867284088969726,197.0
新世界,116.42584139793549,39.90291211421979,170.0
虎坊桥,116.39365331490194,39.894438786132326,90.0
人民大学,116.32240151846152,39.97552861249715,268.0
模式口,116.15894063769396,39.943657480280315,8.0
安贞,116.4116742217376,39.97722949504023,326.0
孙河,116.5525752375887,40.04083229590589,23.0
地安门,116.39245407704612,39.94035066066903,868.0
西单,116.4133836971231,39.91092454729957,123.0
前门,116.40458802855272,39.905524060991794,770.0
常营,116.59963925986744,39.93419394052338,460.0
