district,longitude,latitude,num
东城区和平里民旺六巷,116.4288866536143,39.96487103511862,1.0
朝阳区水碓子南路,116.47878624909973,39.93120709047472,1.0
海淀区天秀北路,116.27831807386484,40.0319314585465,6.0
西城区大石桥胡同,116.85437534655392,40.3769860026615,1.0
海淀区G6(京藏高速),116.37821584488243,40.005564024311326,2.0
西城区三道栅栏胡同,116.37431692947744,39.92657461545143,3.0
海淀区G6(健翔桥),116.3858916893973,39.99359267572788,1.0
顺义区铁东路,116.6576448390883,40.1035054357922,1.0
西城区莲花河西侧路,116.34223403801914,39.887571889607,1.0
大兴区科技路,116.4569954621575,39.81545819099153,1.0
大兴区清源西路,116.30881142719784,39.7497520125946,6.0
西城区西魏胡同,116.39742800184132,39.94948759313395,2.0
昌平区南店北路,116.3347769892858,40.07403306391226,4.0
海淀区韩家川路,116.25358232705395,40.04514145483132,1.0
丰台区光彩路,116.42137747980543,39.84844829647608,149.0
丰台区怡海路,116.3059795954336,39.84004486892486,2.0
西城区东煤厂胡同,116.39455584244782,39.942793485307625,6.0
海淀区健翔桥,116.3858916893973,39.99359267572788,3.0
朝阳区三里屯东街,116.46532408552376,39.94700640831913,1.0
朝阳区S11(京承高速),116.44955872950158,39.92637452307989,5.0
海淀区小关街,116.3846163704546,39.98601077601978,4.0
海淀区翠微路,116.30850846647816,39.921505234954346,19.0
朝阳区富东家园路,116.44955872950158,39.92637452307989,1.0
朝阳区惠忠北里,116.40793718098554,40.01368197927035,1.0
东城区东兴隆街,116.42315671580023,39.903443715583634,1.0
延庆区百泉街,115.98791251305616,40.44673324592969,1.0
海淀区白堆子,116.32734642080229,39.93342062862606,1.0
朝阳区武圣路辅路,116.47437751028394,39.88341410737225,1.0
丰台区南苑路,116.40777768684224,39.83193370183451,10.0
东城区南剪子巷,116.41828425910391,39.93778601040264,2.0
东城区山老胡同,116.41658851791136,39.93841302615736,4.0
西城区煤市街,116.40084880851148,39.90288663866534,3.0
东城区东厂北巷,116.4145838737082,39.929290669435574,1.0
昌平区X017(昌流路),116.19714802610227,40.192697491528655,2.0
延庆区X005(永西路),116.13154375692844,40.498201396778384,8.0
房山区S317(京周路),116.09089894677312,39.72358322467044,3.0
朝阳区日坛路,116.44762192353387,39.92063501012634,7.0
东城区东四南大街,116.42407154653836,39.927183374711255,9.0
海淀区大泥湾路,116.32678591499456,39.983007368893745,1.0
通州区谢太路,116.8529954226295,39.83926363280352,2.0
朝阳区广渠路,116.5260274684285,39.89930211237226,265.0
海淀区近春路,116.32511705739105,40.007305593808034,2.0
朝阳区双桥南街,116.61126469320108,39.893007947255214,2.0
房山区学园南街,116.14944375184248,39.75432583977336,9.0
通州区滨惠北二街,116.65719964786064,39.916801161845754,97.0
西城区手帕口西一巷,116.348934319157,39.88975136288988,1.0
丰台区葆台路,116.29679921135906,39.81339190442253,2.0
西城区姚家井二巷,116.38210352607868,39.880928013949315,1.0
东城区东旺胡同,116.41714137374932,39.94336818016987,5.0
大兴区宏达北路,116.514117654028,39.80702420065202,1.0
东城区张自忠路,116.418394889919,39.939624911005296,16.0
昌平区X034(水南路),116.15977501349572,40.204767314245906,1.0
东城区西长安街,116.39314079118476,39.91350730565632,14.0
延庆区妫水南街,115.97725188050123,40.46278541532601,1.0
东城区弓弦胡同,116.41391146598309,39.93171533052181,3.0
延庆区汇通路,115.90379869657806,40.383914178190544,5.0
西城区西四北二条,116.37609377687788,39.93231697419571,3.0
大兴区亦兴西路,116.49058628158384,39.796939210122105,3.0
东城区宝钞胡同旁门,116.40553654934071,39.95494628041989,1.0
海淀区友谊路,116.32041104323116,39.974114387128026,1.0
西城区月坛西夹道,116.39898727335908,39.938559024878884,2.0
东城区西草市东街,116.40581041035169,39.896042648341044,1.0
海淀区西直门外大街,116.3511995950259,39.94418496050356,4.0
延庆区园区南路,116.49682282238349,39.98296057983093,3.0
海淀区安宁佳园东路,116.33419087997449,40.056976420079096,1.0
朝阳区亮马桥路辅路,116.49265191264641,39.96348862158497,7.0
门头沟区紫金路,116.11381299199283,39.89292937334128,2.0
大兴区枣林巷,116.33147210355189,39.75740286130464,1.0
大兴区永旺路,116.3056298410816,39.687320003634035,24.0
东城区霞公府路,116.42240097766279,39.93482727239599,1.0
东城区磁器口大街,116.424660379512,39.89662440691463,73.0
大兴区南街北路,116.40490531005881,39.793169978390104,1.0
顺义区安富街,116.55431502270037,40.11819673182401,5.0
朝阳区花家地街辅路,116.47549616744058,39.991763134886064,81.0
朝阳区东坝南二街,116.55407540779034,39.967904872363796,6.0
平谷区太后路,117.11194079466448,40.231681321651095,5.0
丰台区南园路,116.41551506169137,39.81554861020232,1.0
顺义区G101(京密路),116.6057306039543,40.14997075441706,6.0
朝阳区周家庄路,116.46571477835276,39.86337659167176,7.0
房山区X034(龙下路),115.87205135007521,39.627552298042396,1.0
密云区下田路,117.10030462568169,40.649928967123216,1.0
房山区G4(京港澳高速),116.14944375184248,39.75432583977336,1.0
丰台区康辛路,116.35654027190996,39.84529606502251,2.0
丰台区西四环南路,116.21602483303802,39.83865115802251,10.0
通州区干休所东侧路,116.42775820223265,39.88244299384189,2.0
延庆区河石路,116.3190476903485,40.65232706872595,1.0
朝阳区向军北里四巷,116.46607057291101,39.930269613172676,6.0
海淀区田村北路,116.24463175557972,39.93952921975029,4.0
西城区西章胡同,116.37316546530528,39.94762402136799,2.0
朝阳区晨光东路,116.44955872950158,39.92637452307989,3.0
朝阳区百子湾南二路,116.5084350200838,39.902254061049035,1.0
丰台区嘉园路辅路,116.37164989096071,39.845591741651894,36.0
朝阳区东三环北路,116.46865268203163,39.945517058385036,48.0
