station,longitude,latitude,count
稻田,116.225429,39.80050900000001,2
大葆台,116.298159,39.814112,160
T3航站楼,116.619758,40.072776,19
T2航站楼,116.599563,40.085493,8
颐和园西门,116.270777,39.993386,8
茶棚,116.25461,39.988011,16
万安,116.238603,39.989737,15
植物园,116.216186,40.007561,8
香山,116.195044,39.996194,15
紫草坞,116.093276,39.730266,2
阎村,116.098956,39.721888,6
星城,116.067772,39.719734,15
大石河东,116.046084,39.716115,0
马各庄,116.611893,39.960074,4
饶乐府,116.012607,39.707343,2
房山城关,115.996258,39.711685,3
燕山,115.979985,39.72533,4
肖村,116.447088,39.841166,182
小红门,116.465808,39.83399,62
旧宫,116.467432,39.812543,52
亦庄桥,116.486851,39.808826,128
亦庄文化园,116.49701,39.812839,125
万源街,116.511997,39.80917,157
荣京东街,116.519823,39.799521,83
荣昌东街,116.528038,39.789194,84
同济南路,116.546383,39.779147,16
经海路,116.568912,39.789493,23
次渠南,116.587934,39.800804,62
次渠,116.597911,39.809191,73
亦庄火车站,116.608168,39.818345,42
