station,longitude,latitude
北沙滩,116.375561,40.007538000000004
六道口,116.35930900000001,40.006718
清华东路西口,116.345527,40.0063
北安河,116.136825,40.073863
温阳路,116.167825,40.074892
稻香湖路,116.194753,40.074788
屯佃,116.22244199999999,40.074106
永丰,116.245001,40.077705
永丰南,116.25461100000001,40.071669
西北旺,116.264078,40.055296999999996
马连洼,116.279261,40.038769
农大南路,116.30599,40.030965
高碑店,115.88056599999999,39.332334
传媒大学,116.56363400000001,39.917551
双桥,116.58333700000001,39.915886
管庄,116.602046,39.922428000000004
八里桥,116.625156,39.912221
通州北苑,116.646918,39.907053999999995
果园,116.65304499999999,39.899659
九棵树,116.66393000000001,39.89646
梨园,116.670763,39.884096
临河里,116.68546699999999,39.881239
土桥,116.692727,39.877731
昌平西山口,116.202226,40.250294
十三陵景区,116.23184599999999,40.263544
昌平,116.23761599999999,40.226413
昌平东关,116.268533,40.227946
北邵洼,116.287975,40.228114
南邵,116.29350500000001,40.213429999999995
沙河高教园,116.28675700000001,40.171012
沙河,116.29505800000001,40.154693
巩华城,116.30043400000001,40.137318
生命科学园,116.30055,40.100975
阎村东,116.107001,39.734677000000005
苏庄,116.13189799999999,39.729197
良乡南关,116.147255,39.72947
良乡大学城西,116.16268400000001,39.7296
良乡大学城,116.17748,39.731491999999996
良乡大学城北,116.18986100000001,39.736109
广阳城,116.191395,39.754016
篱笆房,116.19592800000001,39.766697
长阳,116.21926299999998,39.769411
稻田,116.225429,39.800509000000005
大葆台,116.29815900000001,39.814112
T3航站楼,116.619758,40.072776
T2航站楼,116.59956299999999,40.085493
颐和园西门,116.270777,39.993386
茶棚,116.25461000000001,39.988011
万安,116.238603,39.989737
植物园,116.21618600000001,40.007560999999995
香山,116.195044,39.996194
紫草坞,116.093276,39.730266
阎村,116.098956,39.721888
星城,116.06777199999999,39.719734
大石河东,116.04608400000001,39.716115
马各庄,116.611893,39.960074
饶乐府,116.012607,39.707343
房山城关,115.99625800000001,39.711684999999996
燕山,115.97998500000001,39.72533
肖村,116.447088,39.841165999999994
小红门,116.46580800000001,39.83399
旧宫,116.467432,39.812543
亦庄桥,116.486851,39.808826
亦庄文化园,116.49701,39.812839000000004
万源街,116.511997,39.80917
荣京东街,116.519823,39.799521
荣昌东街,116.528038,39.789194
同济南路,116.546383,39.779146999999995
经海路,116.56891200000001,39.789493
次渠南,116.587934,39.800804
次渠,116.59791100000001,39.809191
亦庄火车站,116.60816799999999,39.818345
